Sort,Field Name,Field Alias,Type,Relevant Layer,Metric Type,Version,Version Date
129,EXHT_N99_MID_HIGHER_PRISKR,Extreme Heat (NEX 99th) - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
130,EXHT_N99_MID_HIGHER_PALR,Extreme Heat (NEX 99th)- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
131,EXHT_N99_MID_HIGHER_DELTAR,Extreme Heat (NEX 99th) - Mid-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
132,EXHT_N99_LATE_LOWER_HM,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
133,EXHT_N99_LATE_LOWER_PRISKS,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
134,EXHT_N99_LATE_LOWER_PRISKR,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
135,EXHT_N99_LATE_LOWER_PALR,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
136,EXHT_N99_LATE_LOWER_DELTAR,Extreme Heat (NEX 99th) - Late-Century Lower Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
137,EXHT_N99_LATE_HIGHER_HM,Extreme Heat (NEX 99th) - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,EXHT,Value,1.0.0,2-Dec
138,EXHT_N99_LATE_HIGHER_PRISKS,Extreme Heat (NEX 99th) - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,EXHT,Score,1.0.0,2-Dec
139,EXHT_N99_LATE_HIGHER_PRISKR,Extreme Heat (NEX 99th) - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,EXHT,Rating,1.0.0,2-Dec
140,EXHT_N99_LATE_HIGHER_PALR,Extreme Heat (NEX 99th) - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,EXHT,Rating,1.0.0,2-Dec
141,EXHT_N99_LATE_HIGHER_DELTAR,Extreme Heat (NEX 99th) - Late-Century Higher Mean Global Temperature Delta Rating,String,EXHT,Rating,1.0.0,2-Dec
142,HRCN_EALT,Hurricane - Expected Annual Loss - Total,Double,HRCN,Value,1.0.0,2-Dec
143,HRCN_EALR,Hurricane - Expected Annual Loss Rating,Double,HRCN,Rating,1.0.0,2-Dec
144,HRCN_RISKV,Hurricane - Hazard Type Risk Index Value,String,HRCN,Value,1.0.0,2-Dec
145,HRCN_RISKR,Hurricane - Hazard Type Risk Index Rating,String,HRCN,Rating,1.0.0,2-Dec
146,HRCN_RISKS,Hurricane - Hazard Type Risk Index Score,Double,HRCN,Score,1.0.1,3-Dec
147,HRCN_MID_LOWER_HM,Hurricane - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,HRCN,Value,1.0.0,2-Dec
148,HRCN_MID_LOWER_PRISKS,Hurricane - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,HRCN,Score,1.0.0,2-Dec
149,HRCN_MID_LOWER_PRISKR,Hurricane - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,HRCN,Rating,1.0.0,2-Dec
