Date,Close,Growth
10/25/2018,25.76,1.3
10/26/2018,24.88,1.221428571
10/29/2018,24.73,1.208035714
10/30/2018,25.94,1.316071429
10/31/2018,26.4,1.357142857
11/1/2018,28.23,1.520535714
11/2/2018,27.83,1.484821429
11/5/2018,27.99,1.499107143
11/6/2018,26.94,1.405357143
11/7/2018,27.66,1.469642857
11/8/2018,27.59,1.463392857
11/9/2018,27.49,1.454464286
11/12/2018,26.36,1.353571429
11/13/2018,26.07,1.327678571
11/14/2018,25.95,1.316964286
11/15/2018,26.5,1.366071429
11/16/2018,26.3,1.348214286
11/19/2018,25.63,1.288392857
11/20/2018,24.8,1.214285714
11/21/2018,25.38,1.266071429
11/23/2018,25.85,1.308035714
11/26/2018,26.29,1.347321429
11/27/2018,26.3,1.348214286
11/28/2018,26.75,1.388392857
11/29/2018,26.82,1.394642857
11/30/2018,26.83,1.395535714
12/3/2018,27.08,1.417857143
12/4/2018,26.46,1.3625
12/6/2018,25.91,1.313392857
12/7/2018,25.11,1.241964286
12/10/2018,25.56,1.282142857
12/11/2018,25.7,1.294642857
12/12/2018,25.24,1.253571429
12/13/2018,24.98,1.230357143
12/14/2018,24.49,1.186607143
12/17/2018,23.29,1.079464286
12/18/2018,23.57,1.104464286
12/19/2018,23.16,1.067857143
12/20/2018,22.54,1.0125
12/21/2018,22.13,0.975892857
12/24/2018,21.87,0.952678571
12/26/2018,22.68,1.025
12/27/2018,22.6,1.017857143
12/28/2018,22.4,1
12/31/2018,22.29,0.990178571
1/2/2019,21.85,0.950892857
1/3/2019,21.39,0.909821429
1/4/2019,22.47,1.00625
1/7/2019,22.86,1.041071429
1/8/2019,23.4,1.089285714
1/9/2019,23.75,1.120535714
1/10/2019,23.77,1.122321429
1/11/2019,24.28,1.167857143
1/14/2019,24.55,1.191964286
1/15/2019,24.61,1.197321429
1/16/2019,25.15,1.245535714
1/17/2019,25.5,1.276785714
1/18/2019,25.18,1.248214286
1/22/2019,24.76,1.210714286
1/23/2019,24.79,1.213392857
1/24/2019,25.76,1.3
1/25/2019,26.1,1.330357143
1/28/2019,26.02,1.323214286
1/29/2019,26.18,1.3375
1/30/2019,25.99,1.320535714
1/31/2019,25.71,1.295535714
2/1/2019,26.34,1.351785714
2/4/2019,26.89,1.400892857
2/5/2019,26.91,1.402678571
2/6/2019,29.69,1.650892857
2/7/2019,30.6,1.732142857
2/8/2019,31.36,1.8
2/11/2019,31.25,1.790178571
2/12/2019,31.42,1.805357143
2/13/2019,31.37,1.800892857
2/14/2019,31.96,1.853571429
2/15/2019,32.03,1.859821429
2/19/2019,31.96,1.853571429
2/20/2019,31.87,1.845535714
2/21/2019,32.13,1.86875
2/22/2019,32.45,1.897321429
2/25/2019,32.44,1.896428571
2/26/2019,32.42,1.894642857
2/27/2019,33.29,1.972321429
