fips,name,pop
13125,"Glascock County, Georgia",2984
13127,"Glynn County, Georgia",85008
13129,"Gordon County, Georgia",57756
13131,"Grady County, Georgia",24693
13133,"Greene County, Georgia",17808
13135,"Gwinnett County, Georgia",926414
13137,"Habersham County, Georgia",45204
13139,"Hall County, Georgia",201434
13141,"Hancock County, Georgia",8500
13143,"Haralson County, Georgia",29608
13145,"Harris County, Georgia",34676
13147,"Hart County, Georgia",25981
13149,"Heard County, Georgia",11785
13151,"Henry County, Georgia",229994
13153,"Houston County, Georgia",155317
13155,"Irwin County, Georgia",9379
13157,"Jackson County, Georgia",70467
13159,"Jasper County, Georgia",14074
13161,"Jeff Davis County, Georgia",15063
13163,"Jefferson County, Georgia",15489
13165,"Jenkins County, Georgia",8787
13167,"Johnson County, Georgia",9717
13169,"Jones County, Georgia",28622
13171,"Lamar County, Georgia",18834
13173,"Lanier County, Georgia",10534
13175,"Laurens County, Georgia",47404
13177,"Lee County, Georgia",29735
13179,"Liberty County, Georgia",62039
13181,"Lincoln County, Georgia",7929
13183,"Long County, Georgia",19236
13185,"Lowndes County, Georgia",116436
13187,"Lumpkin County, Georgia",33009
13189,"McDuffie County, Georgia",21404
13191,"McIntosh County, Georgia",14217
13193,"Macon County, Georgia",13107
13195,"Madison County, Georgia",29624
13197,"Marion County, Georgia",8450
13199,"Meriwether County, Georgia",21080
13201,"Miller County, Georgia",5725
13205,"Mitchell County, Georgia",22072
13207,"Monroe County, Georgia",27455
13209,"Montgomery County, Georgia",9069
13211,"Morgan County, Georgia",18832
13213,"Murray County, Georgia",39789
13215,"Muscogee County, Georgia",195418
13217,"Newton County, Georgia",109835
13219,"Oconee County, Georgia",39194
13221,"Oglethorpe County, Georgia",15040
13223,"Paulding County, Georgia",164440
13225,"Peach County, Georgia",27502
13227,"Pickens County, Georgia",32002
13229,"Pierce County, Georgia",19336
13231,"Pike County, Georgia",18565
13233,"Polk County, Georgia",42251
13235,"Pulaski County, Georgia",11185
13237,"Putnam County, Georgia",21906
13239,"Quitman County, Georgia",2290
13241,"Rabun County, Georgia",16859
13243,"Randolph County, Georgia",6888
13245,"Richmond County, Georgia",202178
13247,"Rockdale County, Georgia",90155
13249,"Schley County, Georgia",5215
13251,"Screven County, Georgia",13977
13253,"Seminole County, Georgia",8218
13255,"Spalding County, Georgia",66043
13257,"Stephens County, Georgia",25934
13259,"Stewart County, Georgia",6446
13261,"Sumter County, Georgia",29714
13263,"Talbot County, Georgia",6245
13265,"Taliaferro County, Georgia",1596
13267,"Tattnall County, Georgia",25392
13269,"Taylor County, Georgia",8126
13271,"Telfair County, Georgia",15871
13273,"Terrell County, Georgia",8654
13275,"Thomas County, Georgia",44545
13277,"Tift County, Georgia",40590
13279,"Toombs County, Georgia",26947
13281,"Towns County, Georgia",11815
13283,"Treutlen County, Georgia",6787
13285,"Troup County, Georgia",70095
13287,"Turner County, Georgia",7920
13289,"Twiggs County, Georgia",8195
13291,"Union County, Georgia",23999
13293,"Upson County, Georgia",26329
13295,"Walker County, Georgia",69398
13297,"Walton County, Georgia",93284
13299,"Ware County, Georgia",35745
13301,"Warren County, Georgia",5259
13303,"Washington County, Georgia",20316
13305,"Wayne County, Georgia",29959
13307,"Webster County, Georgia",2587
13309,"Wheeler County, Georgia",7897
13311,"White County, Georgia",29962
13313,"Whitfield County, Georgia",104122
13315,"Wilcox County, Georgia",8701
13317,"Wilkes County, Georgia",9797
