date,category,value
2021.6386,Star,1611
2021.63587,Other,739
2021.63587,Star,1611
2021.63313,Other,739.7
2021.63313,Star,1611.3
2021.63039,Other,740.3000000000001
2021.63039,Star,1611.7
2021.62765,Other,740
2021.62765,Star,1612
2021.62491,Other,740.7
2021.62491,Star,1612.3
2021.62218,Other,740.3
2021.62218,Star,1612.7
2021.61944,Other,739.7
2021.61944,Star,1613.3
2021.6167,Other,739
2021.6167,Star,1614
2021.61396,Other,738.4
2021.61396,Star,1614.7
2021.61123,Other,737.3
2021.61123,Star,1615.7
2021.60849,Other,736.6
2021.60849,Star,1616.3
2021.60575,Other,734
2021.60575,Star,1617
2021.60301,Other,734
2021.60301,Star,1617
2021.60027,Other,733.1
2021.60027,Star,1617.8
2021.59754,Other,731.9
2021.59754,Star,1619.2
2021.5948,Other,732
2021.5948,Star,1620
2021.59206,Other,732
2021.59206,Star,1620
2021.58932,Other,731.5
2021.58932,Star,1620.5
2021.58658,Other,731
2021.58658,Star,1621
2021.58385,Other,731
2021.58385,Star,1621
2021.58111,Other,732
2021.58111,Star,1621
2021.57837,Other,733
2021.57837,Star,1621
2021.57563,Other,734
2021.57563,Star,1621
2021.5729,Other,732.9
2021.5729,Star,1621
2021.57016,Other,734
2021.57016,Star,1621
2021.56742,Other,734
2021.56742,Star,1621
2021.56468,Other,735.1
2021.56468,Star,1621
2021.56194,Other,736
2021.56194,Star,1621
2021.55921,Other,736
2021.55921,Star,1621
2021.55647,Other,736
2021.55647,Star,1621
2021.55373,Other,735.5
2021.55373,Star,1621.5
2021.55099,Other,732.9000000000001
2021.55099,Star,1622
2021.54825,Other,732.6999999999999
2021.54825,Star,1622.3
2021.54552,Other,727.9
2021.54552,Star,1623
2021.54278,Other,727.8
2021.54278,Star,1624.3
2021.54004,Other,726.7
2021.54004,Star,1625.3
2021.5373,Other,725.5
2021.5373,Star,1626.5
2021.53457,Other,724.5
2021.53457,Star,1627.5
2021.53183,Other,724.5
2021.53183,Star,1628.5
2021.52909,Other,724
2021.52909,Star,1629
2021.52635,Other,724
2021.52635,Star,1629
2021.52361,Other,725
2021.52361,Star,1629
2021.52088,Other,725.9
2021.52088,Star,1629
2021.51814,Other,726
2021.51814,Star,1629
2021.5154,Other,726.1
2021.5154,Star,1629
2021.51266,Other,726
2021.51266,Star,1629
2021.50992,Other,726
2021.50992,Star,1629
2021.50719,Other,727.1
2021.50719,Star,1629
2021.50445,Other,727
2021.50445,Star,1629
2021.50171,Other,726.5
2021.50171,Star,1629.5
2021.49897,Other,728
2021.49897,Star,1630
2021.49624,Other,692.9
2021.49624,Star,1630
2021.4935,Other,689
2021.4935,Star,1627
2021.49076,Other,689.0999999999999
2021.49076,Star,1627
2021.48802,Other,690
